"track_name","latitude","longitude","views","artist_name","track_link","country_code","geo_name","geonameid","boundaries_admin_0","boundaries_admin_1","boundaries_postal_1"
"3 Daqat (feat. Yousra)",29.33278,48.02861,7943,"Abu","ejvpVhvKesM","KW","Ḩawallī",285629,"KW","KWA102","KWP130"
"Aalaporaan Thamizhan (Pooja Vaidyanath, Kailash Kher, Deepak & Sathyaprakash)",11.65376,78.15538,16774,"Pooja Vaidyanath","xsbLtHql4g8","IN","Salem",1257629,"IN","INA133","INP16360"
"Adio Amore",41.34514,21.55504,42061,"Stefan Đurić","syEHZpykluY","MK","Prilep",786735,"MK","MKA1005","MKP175"
"Adio Amore",41.71556,21.77556,23380,"Stefan Đurić","syEHZpykluY","MK","Veles",785058,"MK","MKA1001","MKP114"
"Adio Amore",41.99646,21.43141,347166,"Stefan Đurić","syEHZpykluY","MK","Skopje",785842,"MK","MKA1008","MKP111"
"Almaz Shaadaev эми мага баарыбир",42.87,74.59,688199,"--","2lLcPVx-61o","KG","Bishkek",1528675,"KG","KGA141711","KGP1720"
"Amor de Verdade (MC Kekel & Mc Rita) (feat. MC Kekel)",-20.31944,-40.33778,128901,"MC Kekel","8_oE-iQeFeE","BR","Vitória",3444924,"BR","BRA132",""
"Amor de Verdade (MC Kekel & Mc Rita) (feat. MC Kekel)",-20.66028,-43.78611,51525,"MC Kekel","8_oE-iQeFeE","BR","Conselheiro Lafaiete",3465644,"BR","BRA131",""
"Amor de Verdade (MC Kekel & Mc Rita) (feat. MC Kekel)",-21.38917,-42.69667,24257,"MC Kekel","8_oE-iQeFeE","BR","Cataguases",3466698,"BR","BRA131",""
"Amor de Verdade (MC Kekel & Mc Rita) (feat. MC Kekel)",-21.69694,-45.25333,38274,"MC Kekel","8_oE-iQeFeE","BR","Três Corações",3446138,"BR","BRA131",""
"Amor de Verdade (MC Kekel & Mc Rita) (feat. MC Kekel)",-22.28194,-42.53111,84928,"MC Kekel","8_oE-iQeFeE","BR","Nova Friburgo",3456166,"BR","BRA133",""
