"track_link","artist_name","track_name"
"","Aiya","Maesdjo"
"","Behet Ghol Midam","Mohsen Yeganeh"
"","Changes","Masicka"
"","Mi Cubana Remix (Eladio Carrión, Khea, Cazzu & Ecko)","Eladio Carrión"
"","Missing Track Name","--"
"","Missing Track Name","Cláudia Pascoal"
"","Ngắm Hoa Lệ Rơi","Châu Khải Phong"
"","Ruzigar - Vefasiz / 2018","Ruzigar Qedirov"
"","មេឃកំពុងភ្លៀងហើយ","Meas Soksophea"
"-b21-NCfNzM","Dulce Pecado","Jessi Uribe"
"-ccxOY9btlw","30 km/h","Kali"
"-EKxzId_Sj4","アイネクライネ","米津玄師"
"-I5EbQEUIRs","Wally Seck Mirna","Wally Family Production"
"-lEhWfucJMs","Growing Fond of You","Karen Mok"
"-oCXMrICJgY","Thaniye","Sooraj Santhosh"
"-pl7whYAzaw","Гіпнотизер","Yevhen Mohylevskyi"
"-Q17Udts81M","Clip Scénario hd","DJ Hamida"
"-rs-404qZ3M","Sang Penggoda (feat. Maia Estianty)","Tata Janeeta"
"-RsN3y4cpfQ","Snapchat Story (feat. Romee Khan)","Bilal Saeed"
"-tAs4Sm7D-o","Ilo Maa Mobile ki Mantra Kala","Mantu Chhuria & Dipti Rekha"
"-tKVN2mAKRI","打上花火 (feat. 米津玄師)","DAOKO"
"-uKt3QnDbXg","Половина","Ka-Re"
"-UVvcLIJnDw","Zauvek ti pripadam","Andreana Čekić"
"0aw0M5CBqT8","Minimal","Элджей"
"0AXs8_kBqA0","מישהו איתי כאן","Benaia Barabi"
"0fHKqwhdNJ8","A Culpa É Dele (feat. Maiara & Maraísa)","Marília Mendonça"
"0FvCXrUpw5U","هلا هلا","Waled Al Shami"
"0HUkv6jgerA","Questa nostra stupida canzone d'amore","Thegiornalisti"
"0iNso68Lohw","Vampir","Miligram"
"0Q9wfZgwiIc","ศาลาคนเมา","ดอกแค เซอร์ลาว"
"0uVrUikJojk","Ary Kencana - Cinta Terlarang ( Forbidden Love )","Triwana Music"
"0XElmYomloA","La Player","Zion & Lennox"
"0xI4J9CwMuY","虹","ンダホ & ぺけたん"
"0zREbZkZXJc","Faço Como","Liriany"
"1-tbf-84JnM","EKALDI PARNAI","Rakesh Barot"
"15HzsXTTjo0","I See You Shining","Nines"
"19Qr3Dk8lMc","Rëkkënte Bi (feat. La Génération Consciente)","Pape Diouf"
"1bvyC9gJq6I","Club Controller (Prince Kaybee & LaSoulMates) (feat. TNS & Zanda Zakuza)","Prince Kaybee"
"1cqF0ObBnmE","LYRIC_02724801_LYRIC_บุญผลา - ไมค์ ภิรมย์พร【LYRIC VIDEO】","Mike Piromporn"
"1flZqoyPuQE","H DAI HAI PEN KHERY 2","แมน มิ่งเมืองลาว"
