"track_link","artist_name","track_name"
"1gSu12JpKP8","Walking Trophy","Hood Celebrityy"
"1kHwMPKjDe0","Matematika","Rasta"
"1lYv83tXfgw","Ryser (feat. Ricky Rich)","Lani Mo"
"1sLOOtBij7s","Stranac (Šako Polumenta & Lexington Band)","Šako Polumenta"
"1VrWaED18_g","Soco (feat. Terri, Ceeza Milli, Wizkid & Spotless)","Starboy"
"1W5BA0lDVLM","6 Days (Mahmut Orhan & Colonel Bagshot)","Mahmut Orhan"
"1WI-LsOTOoA","Door Des Vich | New Punjabi Song | Ballu Singh | Latest Punjabi Songs 2018 | Music & Sound","--"
"2-KIxNNrJwc","Line (feat. YOUNGOHM)","Wonderframe"
"20cNO5JetDQ","➞ Blatnoi ♛","--"
"2BnoV5WGQ1M","Gringo","Shatta Wale"
"2Ci7Bye6X6I","Piyawa Se Pahile","Ritesh Pandey"
"2gcsgfzqN8k","Zingaat","Ajay-Atul"
"2lLcPVx-61o","Almaz Shaadaev эми мага баарыбир","--"
"2MF6cDl_m_Y","Par to zēnu, kas sit skārda bungas","Brainstorm"
"2ohBsLkGgI0","Meeting (feat. Q.E Favelas)","4Keus"
"2sBgjbVS2KA","Yurak Uradi","Rayhon"
"2Vv-BfVoq4g","Perfect","Ed Sheeran"
"2wGSKHW2PvI","Bharat Ane Nenu(The Song Of Bharat) (From ""Bharat Ane Nenu"")","David Simon"
"2WsIm6pNlI4","Estranho","Marília Mendonça"
"2XHgXfmfsZU","Pega a Receita (Mc Dede & MC Kevinho)","Mc Dede"
"3-uPAP30NuU","A Nossa Vez","Calema"
"31DIsGbFVgY","אוהבת אותי אמיתי","Omer Adam"
"34_PXCzGw1M","New Movie Song 2017 2074   Timi Royeko Pal   AISHWARYA   Ramesh Upreti Dipika Prasai","--"
"37StRy0LEbI","La pluie (feat. Stromae)","Orelsan"
"38lrK74voaI","Magisch","Olexesh"
"3Iyuym-Gci0","Fall","Davido"
"3Nii8wxm1nQ","They Don't Know","Masicka"
"3nVkhp2xtHg","Science Student","Olamide"
"3RmbF8i5YsI","Bu Benim Öyküm (feat. Tuğçe Kandemir)","Eli Türkoğlu"
"3SWc5G8Gx7E","Tareefan (Qaran & Badshah)","Qaran"
"3VGW2c5TCrc","Alami zor","Munisa Rizayeva"
"3WjdlMCgOSI","طيارة","سامى عزالدين"
"3XmJ4NX52MA","Fshatarja Ime (feat. Ledri Vula)","Ermal Fejzullahu"
"3yd_eoMOvqk","Olha a Explosão","MC Kevinho"
"3zpfRJm0qlI","LYRIC_02632401_สิเทน้อง ให้บอกแน -  ต่าย อรทัย 【LYRIC VIDEO】","Tai Orathai"
"4-sxRVTKNUU","Beni İyi Sanıyorlar","Oğuzhan Koç"
"4ahjXHK3W-g","Naji Osta & Salah Kurdi- Rah Tirjaai  / ناجي أسطا وصلاح الكردي - رح ترجعي","Naji Osta"
"4bsckGGbGs0","Mvumo Wa Radi","Ali Kiba"
"4g39QA0mfvE","Top To Bottom (Sneha M Hegde & Chandan Shetty)","Sneha M Hegde"
"4Gy98w4svJM","Зая","Милена Чижова"
"4IZAtgq5zC8","Jour J (feat. Wassila & Scridge)","DJ Kayz"
"4jHaEfZRGJs","Hama Waradi Keruwe","Jayathu Sandaruwan"
"4l_Y0X0zZGU","EP 43PART 4","Asima Panda, Papu Pom Pom"
"4N2iMmHcHys","Fuleragem","MC WM"
"4nT-WMZeNjc","Mosaïque","A.S.H"
"4R7f0Y7ycDg","Amo-te","Bruna Tatiana"
"4rAxOHMGq9k","Piso (feat. Ecko)","Bhavi"
"4TKCbe8jyRI","01 MV RIVER BNK48 FINAL PRORES HQ Fake 4K 2","BKN 48 Official"
"4YKzIuEkiBM","Légzés","Magdolna Rúzsa"
"4zE1RnQnwcQ","Tu Si a Fine do' Munno","Angelo Famao"
"50QA4OsXcKc","Gizli Aşk","Hakan Tunçbilek"
"51WMz9DrbZc","BLÖFF | OFFICIAL MUSIC VIDEO |","AK26"
"52W8AaAS4fA","Yomg'ir","Munisa Rizayeva"
"53_HPbH64_M","Through The Storm","YoungBoy Never Broke Again"
"54PHdAEmJkM","Fuego","Eleni Foureira"
"57R8RNN8vKo","Kusu Kusu","Tian Storm"
"57wYBYOyz2g","Casa de Madeira","Calema"
"59UY2ZS4cko","Nadarang","Shanti Dope"
"5a6o3R4T5ps","Stasera tu verrai con me...!! (feat. Niko Pandetta)","Francesco D'Aleo"
"5Bkeil0ejP8","Sog'indim","Dilso'z"
"5cXPRs5sLhA","Love Scheme","Big Dhillon"
"5hb1Q2apzBg","ថ្ងៃឯកា - គូម៉ា","Kuma"
"5HDjb07_saY","Bad cendrillon (feat. DJ Glad)","Kryssy"
"5i2z5Nk75vk","GASPI   PAIGAI PAIGAI  Son Officiel","--"
"5LrlmnBCvHw","Malibu","Vegas Jones"
"5S0TD8s361Q","ESY E RY MALALA","Mr Syada"
"5sGzi54x-to","Draai Het Om","Boef"
"5tHsSL3NFDE","Juragan Empang","Nella Kharisma"
"5UV1aEkBgAk","Fallait Pas","Marwa Loud"
"5w_XWFajGvI","Perfect","Alkaline"
"5YkxgWMDnCo","Still Can't Sleep","Stoto"
"68LZ5utJVr8","My Type","Popcaan"
"6Cp6mKbRTQY","Hey Brother","Avicii"
"6EwJRGaiBNY","chagexutebi-9707-DNC","gogita gogidze  tako"
"6H8NzHtdqWU","เฮ็ดได้ให้เป็นไพ้","--"
"6KdLo_X-fIQ","Shou Helou","Ziad Borji"
"6OMQsYDbbnI","Sampai Jumpa","Endank Soekamti"
"6pZBGTfRjGI","Orayyo","Chandrabose"
"6Q8e8tmKWMI","حسين الجسمي - أحبّك (حصرياً) | 2018","Hussain Aljassmi"
"6qo8GdzxGpc","Favela (feat. Soolking)","Naps"
"6RT-OucjH8E","Nibebe","Aslay"
"6Uh4Ss7DR84","Sub Apa","Lidia Buble"
"6x4cs5tvc2Q","Nimwage Radhi (feat. Harmonize)","Mrisho Mpoto"
"6YkK1fTSzss","Vachaadayyo Saami (Divya Kumar & Kailash Kher)","Divya Kumar"
"6YNZlXfW6Ho","Boo'd Up","Ella Mai"
"6yofllESgS8","On se connaît pas","Mr. Leo"
"73Ns52Cb7_A","Nove Maggio","LIBERATO"
"75ENws5_Bjc","Топ","Tedi Aleksandrova"
"7C2z4GqqS5E","FAKE LOVE","BTS"
"7CJ1LGcsdYs","Family","Popcaan"
"7jkJ-rwq1qo","คิดฮอด","Bodyslam"
"7k-8O0QQhlk","La Forza","Elina Netšajeva"
"7Lf_g0pbGRk","RaOol  - 2018 Latest Hindi Song","Thoda Bing Thoda Bang"
"7OeMjLVCGJs","Collide","Lady Zamar"
"7UO0O6ADu4Q","El Color De Tus Ojos","Banda MS"
"7V4KJtxOxk0","HATIKU MILIKMU MASTER VIDEO YOUTUBE final","--"
"7YVydzZHU6U","اغنيه العب يلا..اوكا  واورتيجا 2017 8%","Oka & Ortega"
"7YVydzZHU6U","العب يلا","Oka Wi Ortega"
"8-mloCL49vs","Mi Cama","Karol G"
"82GbNXy0qbk","Ca dépend de toi (feat. Serge Beynaud)","DJ Kerozen"
"851QyGdFXVc","الجدي","محمد بشير"
"8Ah68MjWODE","Ranga Ranga Rangasthalaana","Rahul Sipligunj"
"8BDrtvy0SNM","Tu Postura","Banda MS"
"8cQGzbu98HU","Merri Merri (Ledri Vula & Buta)","Ledri Vula"
"8gLAPMnad-A","Yaad Ni","Sarab Dhillon"
"8JFh3ooUv_k","Sev Achker","Tigran Asatryan"
"8MPbR6Cbwi4","Say Something (feat. Chris Stapleton)","Justin Timberlake"
"8nA-apwq0aY","Jaran Goyang","Nella Kharisma"
"8O3Sjl8jf-0","Ninogeshe","Nandy"
"8ORvJcpe2Oc","FIA","Davido"
"8q1NFlE17qs","Pineapple","Karol G"
"8vJHU2FUFTA","Warada Piligannawa","Sandun Perera"
"8Y5-GI9hYcI","Se Acabó el Amor (Abraham Mateo, Yandel & Jennifer Lopez)","Abraham Mateo"
"8zSRkr1nQNw","Be Careful","Cardi B"
"8_oE-iQeFeE","Amor de Verdade (MC Kekel & Mc Rita) (feat. MC Kekel)","MC Kekel"
"93u0gIDxbKI","Balsors","Giajjenno"
"9aJVr5tTTWk","ピースサイン","米津玄師"
"9ARu1i514Uw","Cabron","Deedz B"
"9bnn5xQrJqM","Ajshe (feat. Noizy)","ALTIN SULKU"
"9bZkp7q19f0","Gangnam Style","PSY"
"9cA9yYVYoTo","Bye Bye (feat. YOUNGOHM)","P-Hot"
"9EuFMZX6h4E","Mv ใจนึงก็เจ็บใจนึงก็รัก   ทองพูล feat เต็มนาวา3","--"
"9h30Bx4Klxg","Same Old Love","Selena Gomez"
"9jI-z9QN6g8","Te Bote","Casper"
"9ka0Q2im8eE","Casa de papel","SKG"
"9kPmPIJ99pQ","Visekari (feat. Shiraz & Påsan)","Bachi Susan"
"9rctnTTx4eA","Anao Tsara","Dadi Love"
"9RJvQ8fZFp4","Shuffla","Samir & Viktor"
"9RXbaMyDpLs","Зоопарк","Anelia"
"9SciUYMSnBs","Short N Sweet (feat. Nyashinski)","Sauti Sol"
"9Vh17XcyL9c","Потому что я влюблен","Шамиль Кашешов"
"9XaS93WMRQQ","Zombie","Bad Wolves"
"a-GQDCtt1Vk","Ju-Ju","Ленинград"
"a-lylxJggYw","Herz an","Beatrice Egli"
"a18py61_F_w","Tajdar-E-Haram","Atif Aslam"
"A3hfErUzjdg","Samo idi","Tropico Band"
"A3Iizt1-n98","4K TEXT เมาพร้อมพ่อ   เต็ม นาวา","เต็ม นาวา"
"aa2AhDaK_iY","刚好遇见你","Li Yugang"
"aA2OJLBukLI","Garun Garun","Tigran Asatryan"
"aCDKULGwsps","Karakudi Ilavarasi","Jassie Gift"
"AD9G8XbY1Eg","Sayang","Nella Kharisma"
"aHKgbc7-Jso","Noc Taka Czarna","Extazy"
"Aho8h_BYTO4","Duniya Dole Chhe Full Song","Vijay Suvada"
"aJEIGLrNDmU","Macchi Le Khane Kholi Ko Leu Ft  Priyanka,Saroj,Aashma","--"
"alu7e4TnyAA","Kwa Ngwaru (feat. Diamond Platnumz)","Harmonize"
"AM1t-BPinsk","Promets Moi","Daphné"
"Am4SHDwWbPA","Rolling One (feat. T3R Elemento)","Lenin Ramírez"
"am8roTnNQOI","Novinha Pode Pá (feat. Lucas E Orelha)","Iago Weslley"
"Amq-qlqbjYA","As If It's Your Last","BLACKPINK"
"ANfpF0pNob4","Aquieta Minh'alma","Ministério Zoe"
"anKhsmXf8bA","TAKANA ZION MASHUGUI INNA GALAXY","Takana Zion"
"ANvLQWFX_2o","Desculpa","Messias Maricoa"
"aNwWdF8qq-M","Raat Kamaal Hai (Guru Randhawa, Khushali Kumar & Tulsi Kumar)","Guru Randhawa"
"aTrWdWolWXs","Anh Muon Noi","Trinh Thang Binh"
"au2n7VVGv_c","Psycho (feat. Ty Dolla $ign)","Post Malone"
"ausm7Agez7Q","Lakalaka","Te Vaka"
"Avg0aZOInsE","Best Qaraam Song 2017","Hamda Queen"
"AwASp9hYJVw","DMND","Navv Inder"
"AxJnggKkerU","Ilegalno","Maja Šuput"
"azjyRuSZD4k","Verdammt lang her","Andreas Gabalier"
"aZla1ttZHaw","Freaky Friday (feat. Chris Brown)","Lil Dicky"
"b0e6Rd9Xv1M","Waily Ala Qalb","Mohammed Al Salem"
"B5AJA2UW_Ic","SAFWAN HALAC HABLAHA 2018","--"
"b6DPdaGTTRg","Lujmi Krejt","Adrian Gaxha"
"b6DPdaGTTRg","Lujmi Krejt (feat. Onat)","Adrian Gaxha"
"B6U0peGn4e8","Dayax Dalnuurshe  Hees Cusub (Kaska Cad ) official  Music Video  20171","--"
"B9Mi1-qn_PQ","Apelido Carinhoso","Gusttavo Lima"
"B9SisYiSBVw","Area Gaana","Ka Ka Bala"
"BbMu-H7i3D8","Faz Gostoso","Blaya"
"BcjoGIoErdE","Heyecanı Yok","Gazapizm"
"bd5m12UEHWI","Goyang Nasi Padang","Duo Anggrek"
"bD6ifecX6rs","Sobre Nós (Delacruz, Maria, Ducon, Luiz Lins, Diomedes Chinaski, Bk', Kayuá)","Maria Andrade"
"bd9gAjK6UVY","LYRIC_02750301_หมาวัด - ลำเพลิน วงศกร 【LYRIC VIDEO】","--"
"bFCVXPTJt_4","Engaged Jatti (Kaur B, Desi Crew & Kaptaan)","Kaur B"
"bkBMkeKSlO0","Hauwezi Kushindana","Goodluck Gozbert"
"BkPRZgk1LDs","Valahol Itt","Bagossy Brothers Company"
"BNHamTwxJ6Q","Warum hast du nicht nein gesagt (Roland Kaiser & Maite Kelly)","Roland Kaiser"
"bnVEGoQC4ss","Master Sina ft. Mok Saib - Hablouni  (Prod Dj Souhil)","Master Sina"
"BNwzpqszZDs",50,"Getinjo"
"bOYvpv8EYMY","I Fall Apart","Post Malone"
"BQ0mxQXmLsk","Havana (feat. Young Thug)","Camila Cabello"
"BqiBdwhSn7Y","Mehdi Farukh   Shokhak Farkhar OFFICIAL AUDIO","--"
"BsY5nNWldPI","อยากได้น้อง - ท๊อป มอซอ【 OFFICIAL AUDIO 】","--"
"BtLiJitQhUc","هنا هنا","فهد نوري"
"Btxj7Kq27YM","Já Não Sei (feat. Yasmine)","Badoxa"
"btxXHe2E4CQ","Patola (feat. Bohemia)","Guru Randhawa"
"BW6LuHPDNAY","#Делаемфлекс","Зомб"
"bX3S-_jUauc","Nena Maldicion (feat. Lenny)","Paulo Londra"
"bx5EVriXscE","Ma fille (feat. Namya Sidibé)","Mariko Baba"
"bxHm7X4ASMM","Nincs Több Romantika","Barbara Opitz"
"BXMfqpzZ28Y","Beau","Irina Rimes"
"bxtOtl7CpnY","Quisiera parar el tiempo (feat. Demarco Flamenco)","MAKI"
"bY2DhGp7tH0","JIGARY Yaar 4K FINAL YOUTUBE 19 APRIL","Soni Dhillon"
"BZT8jqsc8lQ","Your Spirit (feat. Kierra Sheard)","Tasha Cobbs"
"bzW9fmwcmG4","Daru Badnaam (Kamal Kahlon & Param Singh)","Kamal Kahlon"
"C01zDmEsSrk","Usted (Juan Magán & Mala Rodríguez)","Juan Magán"
"c1ku7yB6LXE","Bhijei Dei Jaa Thare","Human Sagar"
"C6utFMbCN_4","Aseda","Ebony"
"c8FTDmwtEj0","Popkorni","JVG"
"C9F6Or6jsXo","NIČ NENI NÁHODOU (feat. Reunion)","--"
"CcnNguA4x9I","Bez tebe me nema","Saša Kovačević"
"CCYvci4THzQ","Laali Laali (Sathyaprakash, Pragathi Durgaprasad & Mohamaad Ghibran)","Sathyaprakash"
"cDq1vUwM21k","붕붕 (feat. Sik-K)","김하온 (HAON)"
"CFwm3Vi66A4","Thank You","Stan Walker"
"cgSxTfQIdkM","Cupido (feat. Quavo)","Sfera Ebbasta"
"CjxugyZCfuw","This Is Me (The Greatest Showman Ensemble & Keala Settle)","The Greatest Showman Ensemble"
"Ck4xHocysLw","Única","Ozuna"
"cK63XuJMPvo","Rasathi (Liya Susan Verghese & Vineeth Sreenivasan)","Liya Susan Verghese"
"CKhLVMqJ7p0","Setz Dich (feat. Gzuz & AK Ausserkontrolle)","Kontra K"
"CKUOWQlv7Oc","You Let Me Down ฐา ขนิษ ft  ท้าวคำสิงห์","--"
"cLTXQxiQPgE","Ek Do Teen","Shreya Ghoshal"
"CmUFNV0s4uI","Karuthavanlaam Galeejaam","Anirudh Ravichander"
"CNmwkag1uqE","गारंटी है ऐसा डांस नहीं देखा होगा सपना तू चीज़ कमाल  की || New Live Dance 2017","--"
"cnR1Yj7NIgE","Yêu Anh Cứ Để Em Beat","Song Thu"
"CowqvssinfU","Meskipun Kau Tahu","Projector Band"
"CPiuYxiyM_c","Dellani (feat. IN-S)","Cheb Bachir"
"csA3Ie-VIbs","Neymar (feat. Ufo361)","Capital Bra"
"CtEHrcA8dKc","Particula (DJ Maphorisa & Major Lazer) (feat. Patoranking, Ice Prince, Nasty C & Jidenna)","DJ Maphorisa"
"CTwiB1uw9sQ","Drunk Groove (Maruv & Boosin)","Maruv"
"ctx_yAwy4BU","Power (feat. Lumi B.)","--"
"CT_RxuDdyRA","Mudahnya Kau Berubah (Official Lyric Video)","Yazid Izaham"
"cuVTfVaAD18","Süda taob (Liis Lemsalu & Ott Lepland) (feat. Ott Lepland)","Liis Lemsalu"
"CX11yw6YL1w","Ashes","Celine Dion"
"cZ1ab6JWJCs","Mana Zina (feat. Laila Chakir)","Mo Temsamani"
"CzYC478U2HE","جيناك بهايه","Ghazwan Al-Fahd"
"d59ADlwvJQY","Ksazobalit","Cassper Nyovest"
"DaqffTQjDKM","BRAMMM 2018","ANELIA & DZHULIA"
"DBw6hwMlw74","Jogodo","Tekno Miles"
"dc89yyOS0Z8","Medicine","Queen Naija"
"DdLYSziSXII","WAKE ME UP","TWICE"
"DI57uctvh2U","Shantidope (feat. Gloc-9)","Shanti Dope"
"di8TMOVmQro","Foreign (Falz & Simi)","Falz"
"DkeiKbqa02g","One Kiss (Calvin Harris & Dua Lipa)","Calvin Harris"
"dkP-_xYLjq8","Namak Nomati","Chathura Warnasekara ft Shanika Madumali"
"DLGfxc3eTNw","Lie To Me","Mikolas Josef"
"dMa3-TTGb44","Nem Tudja Senki","Follow The Flow"
"DnAIfx1guTk","My Way","Lee Soo"
"DNdLFbEZC2Y","Hurtin' Me","French Montana"
"DPxL7dO5XPc","Esskeetit","Lil Pump"
"dRX0wDNK6S4","Heaven","Kane Brown"
"dsT-D8pftZI","Sudu","Milinda Sandaruwan"
"dUaCEs3HfdI","Buzz (feat. Badshah)","Aastha Gill"
"DuPFBprNjcQ","Att Karvati (feat. Bling Singh)","Anmol Gagan Maan"
"dwhLpgLqbco","Damla - Firtina (Klip, 2018)","Various Artists"
"dZ0fwJojhrs","Lahore","Guru Randhawa"
"dZZsAlPQoCA","Ça va te tuer (feat. Minks)","DJ Kenny"
"E7i-prhDw9A","Catalina (feat. Paloma Pradal)","Taiwan MC"
"E9FqsxyT1I8","موسيقى مسلسل ارطغرل","--"
"eABViudPBFE","Yentha Sakkagunnave","Devi Sri Prasad"
"eAQh6SDsdnA","8 kobiet","Taco Hemingway"
"EatzcaVJRMs","Tera Yaar Hoon Main (Arijit Singh & Rochak Kohli)","Arijit Singh"
"eCkBdziK5RM","Круче всех (feat. Open Kids)","Quest Pistols Show"
"EedPfUeBf2A","Más Fuerte","Greeicy"
"Eg4LUvUjUWI","La Cintura","Alvaro Soler"
"EGYOFuHE6Wg","Sitrany solo","Tence Mena"
"EH3M8CYTi_s","Ennai Kollathey (Kumaresh & Keshini)","Kumaresh"
"EHw005ZqCXk","ノーダウト","Official髭男dism"
"ejvpVhvKesM","3 Daqat (feat. Yousra)","Abu"
"ekDzlSB1p28","We're Different","Da Zhuang"
"EnNIVoNf68U","Babatchai","Serge Beynaud"
"EnuRjXZUOB0","Ikke mere mælk","Mika & Tobias"
"EP9E_VpSUro","Turist","VIA Marokand"
"eqYxVsEaypk","Un Poco","Ninho"
"eR1S6seBNLA","Gia Paradigma","Nikos Oikonomopoulos"
"ERYB_s63SjM","Play","Kofi Kinaata"
"eUZdR0G20Qs","Una vita in vacanza","Lo Stato Sociale"
"eVmxh5Uft0Y","Colors (Jason Derulo & Maluma)","Jason Derulo"
"eVxNksC88_U","Original Sabahan","Atmosfera ft. Floor 88"
"Ewsdap--I7c","ឆ្នាំច ៥ឆ្នាំ Bonnphum Chnam Chor Pram Chnam","Smallworld Smallband"
"eXHH6UX-mh0","Нурлан Насип   Мектебимди сагындым","--"
"eZBe_HdsFnw","S'ka dashni","--"
"E_CEZO5fUrM","Beetje Moe","Kevin"
"f0bbDFRYD_A","changes","XXXTentacion"
"f0vs8J_hex0","Irraggiungibile (feat. Federica Carta)","Shade"
"f0wbnQw89J0","シンクロニシティ","乃木坂46"
"f1qz8vn3XbY","Ghar Se Nikalte Hi (feat. Armaan Malik)","Armaan Malik"
"F7n8Szu4m5s","Fatalna Doza","Aco Pejović"
"fC6YV65JJ6g","La même (feat. Vianney)","Maître Gims"
"FCjbx1GDNmA","Mônica","Kyako Kyadaff"
"fcwkAnXL53o","เลือกใผใจก็เจ็บ","--"
"fdh3Thhr3T4","Ceasul","Nicole Cherry"
"FDs6dADBmI0","Loco (feat. Dopebwoy & Poke)","Yung Felix"
"Femsd8kTRmk","Lete Pare","MC Stojan"
"ffxKSjUwKdU","No Tears Left To Cry","Ariana Grande"
"FglhexSxRog","Uça Uça Gelerem","--"
"fGqdIPer-ms","Walk It Talk It (feat. Drake)","Migos"
"FH2QsiBixe4","African Beauty (feat. Omarion)","Diamond Platnumz"
"FHvoM4tDdK0","Kivuruge","Nandy"
"fIKSmxodTx0","Na","Mahlet Gebregiorgis"
"fKopy74weus","Thunder","Imagine Dragons"
"Fl1-q9ywW2M","По такива си падам (Emilia & Емрах)","Emilia"
"FLGFAYywDjU","ترويج اغاني و اغاني 2018   رمضان 2018","--"
"Flo87YCu0K0","Absans Ou","Rayy Raymond"
"FOLM38CnqhY","AMGVSQ7AUDI","Stefan Đurić"
"FOu4F7jx3Go","السميح","Mayada Qamaruddin"
"fpLATmHBx5Q","Гледай ме на снимка","Emanuela"
"FQVYaX2rBAo","SOFIANE","Boef"
"FtDaTXg1wOs","Good Morning Teacher","Atom Chanagun"
"fTNYZEprlXw","МИРБЕК АТАБЕКОВ НУРМАТ САДЫРОВ КАРАГАТ КОЗ","Мирбек Атабеков feat. Нурмат Садыров"
"fvGFis2abL0","Thelo Na Se Xanado (Mi Gna) (feat. Panos Kiamos & BO$$)","Super Sako"
"FvR0PUXKhrg","Jackpot","The Motans"
"FWpHN9v8uu8","To My Love (Tainy Remix)","Bomba Estéreo"
"FXiaIH49oAU","Entammede Jimikki Kammal (Renjith Unni & Vineeth Sreenivasan)","Renjith Unni"
"FzG4uDgje3M","Dame tu Cosita (feat. Cutty Ranks)","El Chombo"
"FZogDOXZlTE","Миллион алых роз","Егор Крид"
"f_tzCYI6byY","Aku Takut","Repvblik"
"G3diF-5DlAc","No Querías Lastimarme","Gloria Trevi"
"g45mBGGVNN8","Bileten","Kida"
"g4HDfqEWf6Y","Oh Humsafar Song (Neha Kakkar & Tony Kakkar)","Neha Kakkar"
"G6NVgixlJtg","Olisitpa sylissäni","Antti Ketonen"
"g6pHFWToZLo","Koka Koka","In Vivo"
"g7AurPS8-kM","Tumi Jodi Bolo","Kumar Bishwajit"
"G7RW-KVDeEo","YEAH BABY","Garry Sandhu"
"g8psa0UBZKA","Pesadão (feat. Marcelo Falcão)","IZA"
"GarxLtaNYCU","אחרי הכל מתגעגע","איתי לוי"
"garZAbhqOWI","Wonderland","C-Bool"
"GBdClafpLrI","Сделай громче","Макс Барских"
"gbPyFvAl4w4","Inviolable","Popcaan"
"gdjR2lvIfJ4","Rewrite the Stars (Zac Efron & Zendaya)","Zac Efron"
"GDy_1muVhyI","Vasif Azimov Derdimi Dinle 2017 YENI","Various Artists"
"gFOvk05d-Fs","BROI DO 12 2018","FIKI"
"GgCJOH99hDM","Madar Shohar","3 Brothers Khodaverdi"
"ggJMQHltiQc","Diamond","Gurnam Bhullar"
"GGkpcLTfWeA","Kal Bekal","Bisrat Surafel"
"ggoeWxrJTY4","Oru Kuchi Oru Kulfi #TheSelfieSong (Gana Vinoth & Saravedi Saran)","Gana Vinoth"
"GhMB3BxRgyg","Mecanik Mo Leker","The Prophecy"
"ghSQz2BcDQU","Lullaby (Sigala & Paloma Faith)","Sigala"
"GIGVB-TYVE0","Pega","Tsean"
"gJX2iy6nhHc","灰色と青 (feat. 菅田将暉 )","米津玄師"
"GmHrjFIWl6U","Corazón (feat. Nego do Borel)","Maluma"
"gOsM-DYAEhY","Whatever It Takes","Imagine Dragons"
"gQobgKsTzhU","Drip (feat. Dopebwoy & The Leafs)","SFB"
"GQUkoEFNx0Y","Kelshi Kataet Wieay","Mahmoud Al Turki And Mostafa Alabdullah"
"GRs6lotMpAo","KHADAR KEYOW HEESTII DOORSI MUSIC VIDEO 2018 BY SETWAD STUDIO 4k","--"
"gtLuCdf3VYU","Os Opostos se Atraem","MC Don Juan"
"GwDQZp6TTIc","Esson baariin","Poju"
"GwVz3-ErNm8","ปล่อยไปตายโลด","ธัญญ่า อาร์สยาม"
"GWWHI7SE0KQ","Rangamma Mangamma","M.M. Manasi"
"GXlvucliv-E","final","--"
"GYQ1I0-TcTI","Slowly","Meddy"
"H-GcBqW_Jt0","Aklım Gider Aklına","Can Yüce"
"h3oUC_tJRsg","Pem Pem","Elettra Lamborghini"
"H5WnG5jp7V0","Grattanhou","Safarel Obiang"
"H65ZMBbaBL4","Nössö (feat. Vesa Jokinen)","Petri Nygård"
"h6DwAox2hF8","Stay So","Busy Signal"
"h9gH5jVGx38","Kitadi feat Locko (feat. LOCKO)","Shado Chris"
"hA6fcqW4Bic","過客","阿涵"
"hatTHU5sQKU","Volta Só Já (feat. Lil Saint)","Cláudio Fénix"
"havgvFqO_KQ","Taaban Hail","Ali Saber"
"hbJu8AZm8Hk","Hərdən","Miri Yusif"
"heNYBivbt-M","ÜBERLEBT","Azet"
