"artist_name","latitude","longitude","views","track_link","track_name","rank","country_code","geo_name","geonameid","boundaries_admin_0","boundaries_admin_1","boundaries_admin_2","boundaries_admin_3","boundaries_admin_4","boundaries_admin_5","boundaries_postal_1","boundaries_postal_2","boundaries_postal_3","boundaries_postal_4"
"Ersay Üner",37.77417,29.0875,680134,"ibwSWfbaW0I","İki Aşık",0,"TR","Denizli",317109,"TR","TRA120","TRA22002","TRA3200200019",NULL,NULL,"TRP120",NULL,NULL,NULL
"Ersay Üner",37.72028,30.29083,21084,"ibwSWfbaW0I","İki Aşık",0,"TR","Burdur",320392,"TR","TRA115","TRA21500","TRA3150090437",NULL,NULL,"TRP115",NULL,NULL,NULL
"Manuş Baba",37.88738,41.13221,180620,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Batman",321836,"TR","TRA172","TRA27200","TRA3720000008",NULL,NULL,"TRP172",NULL,NULL,NULL
"Ersay Üner",39.64917,27.88611,459941,"ibwSWfbaW0I","İki Aşık",0,"TR","Balikesir",322165,"TR","TRA110","TRA21020","TRA3102000002",NULL,NULL,"TRP110",NULL,NULL,NULL
"Ersay Üner",37.84501,27.83963,385279,"ibwSWfbaW0I","İki Aşık",0,"TR","Aydin",322830,"TR","TRA109","TRA20900","TRA3090000004",NULL,NULL,"TRP109",NULL,NULL,NULL
"Ersay Üner",36.90812,30.69556,1637263,"ibwSWfbaW0I","İki Aşık",0,"TR","Antalya",323777,"TR","TRA107","TRA20719","TRA3071903035",NULL,NULL,"TRP107",NULL,NULL,NULL
"Manuş Baba",39.91987,32.85427,5870743,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Ankara",323786,"TR","TRA106","TRA20602","TRA3060200068",NULL,NULL,"TRP106",NULL,NULL,NULL
"Ersay Üner",36.54375,31.99982,43632,"ibwSWfbaW0I","İki Aşık",0,"TR","Alanya",324190,"TR","TRA107","TRA20702","TRA3070290406",NULL,NULL,"TRP107",NULL,NULL,NULL
"Ersay Üner",38.37255,34.02537,148674,"ibwSWfbaW0I","İki Aşık",0,"TR","Aksaray",324496,"TR","TRA168","TRA26800","TRA3680000020",NULL,NULL,"TRP168",NULL,NULL,NULL
"Ersay Üner",38.75667,30.54333,252562,"ibwSWfbaW0I","İki Aşık",0,"TR","Afyonkarahisar",325303,"TR","TRA103","TRA20300","TRA3030000017",NULL,NULL,"TRP103",NULL,NULL,NULL
"Manuş Baba",37.76441,38.27629,134575,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Adiyaman",325330,"TR","TRA102","TRA20200","TRA3020000024",NULL,NULL,"TRP102",NULL,NULL,NULL
"Helen Berhe",9.02497,38.74689,58087,"ZUnB4p1xY6s","Eski Leyew",0,"ET","Addis Ababa",344979,"ET","ETA110","ETA21001",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ed Sheeran",15.55177,32.53241,84955,"JGwWNGJdvx8","Shape of You",0,"SD","Khartoum",379252,"SD","SDA106","SDA20603",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ed Sheeran",57.38988,21.57288,19598,"2Vv-BfVoq4g","Perfect",0,"LV","Ventspils",454310,"LV","LVA102","LVA20270000","LVA30270000",NULL,NULL,"LVP136",NULL,NULL,NULL
"Ed Sheeran",56.946,24.10589,475433,"2Vv-BfVoq4g","Perfect",0,"LV","Riga",456172,"LV","LVA101","LVA20010000","LVA30010091",NULL,NULL,"LVP110",NULL,NULL,NULL
"Ed Sheeran",56.51667,21.01667,26506,"2Vv-BfVoq4g","Perfect",0,"LV","Liepaja",457954,"LV","LVA102","LVA20170000","LVA30170000",NULL,NULL,"LVP134",NULL,NULL,NULL
"Ed Sheeran",56.65,23.71278,36953,"2Vv-BfVoq4g","Perfect",0,"LV","Jelgava",459279,"LV","LVA105","LVA20090000","LVA30090000",NULL,NULL,"LVP130",NULL,NULL,NULL
"Vremya i Steklo",55.88333,26.53333,19103,"q--5Ht49vNY","Тролль",0,"LV","Daugavpils",460413,"LV","LVA103","LVA20050000","LVA30050000",NULL,NULL,"LVP154",NULL,NULL,NULL
"Feduk",56.63877,47.89078,48488,"wOBnq0Ewz5k","Розовое вино",0,"RU","Yoshkar-Ola",466806,"RU","RUA17","RUA288","RUA388401",NULL,NULL,"RUP142",NULL,NULL,NULL
"Feduk",57.62987,39.87368,80764,"wOBnq0Ewz5k","Розовое вино",0,"RU","Yaroslavl",468902,"RU","RUA11","RUA278","RUA378401",NULL,"RUA578401368",NULL,NULL,NULL,NULL
"Feduk",51.67204,39.1843,196176,"wOBnq0Ewz5k","Розовое вино",0,"RU","Voronezh",472045,"RU","RUA11","RUA220","RUA320401",NULL,"RUA520401380",NULL,NULL,NULL,NULL
"Vremya i Steklo",48.78583,44.77973,29725,"q--5Ht49vNY","Тролль",0,"RU","Volzhskiy",472231,"RU","RUA12","RUA218","RUA318410",NULL,NULL,"RUP140",NULL,NULL,NULL
"Feduk",59.2239,39.88398,58560,"wOBnq0Ewz5k","Розовое вино",0,"RU","Vologda",472459,"RU","RUA13","RUA219","RUA319401",NULL,NULL,"RUP116",NULL,NULL,NULL
"Vremya i Steklo",48.71939,44.50183,156986,"q--5Ht49vNY","Тролль",0,"RU","Volgograd",472757,"RU","RUA12","RUA218","RUA318401",NULL,"RUA518401365",NULL,NULL,NULL,NULL
"Feduk",56.13655,40.39658,67774,"wOBnq0Ewz5k","Розовое вино",0,"RU","Vladimir",473247,"RU","RUA11","RUA217","RUA317401",NULL,"RUA517401370",NULL,NULL,NULL,NULL
"Vremya i Steklo",43.03667,44.66778,67391,"q--5Ht49vNY","Тролль",0,"RU","Vladikavkaz",473249,"RU","RUA18","RUA290","RUA390401",NULL,"RUA590401362",NULL,NULL,NULL,NULL
"Vremya i Steklo",54.32824,48.38657,88334,"q--5Ht49vNY","Тролль",0,"RU","Ulyanovsk",479123,"RU","RUA17","RUA273","RUA373401",NULL,"RUA573401384",NULL,NULL,NULL,NULL
"Vremya i Steklo",63.56705,53.68348,20976,"q--5Ht49vNY","Тролль",0,"RU","Ukhta",479411,"RU","RUA13","RUA287","RUA387425",NULL,NULL,"RUP116",NULL,NULL,NULL
"Feduk",54.74306,55.96779,566890,"wOBnq0Ewz5k","Розовое вино",0,"RU","Ufa",479561,"RU","RUA17","RUA280","RUA380401",NULL,"RUA580401390",NULL,NULL,NULL,NULL
"Vremya i Steklo",56.85836,35.90057,61306,"q--5Ht49vNY","Тролль",0,"RU","Tver",480060,"RU","RUA11","RUA228","RUA328401",NULL,"RUA528401378",NULL,NULL,NULL,NULL
"Vremya i Steklo",54.19609,37.61822,100127,"q--5Ht49vNY","Тролль",0,"RU","Tula",480562,"RU","RUA11","RUA270","RUA370401",NULL,"RUA570401380",NULL,NULL,NULL,NULL
"Vremya i Steklo",53.5303,49.3461,91034,"q--5Ht49vNY","Тролль",0,"RU","Tol'yatti",482283,"RU","RUA17","RUA236","RUA336440",NULL,"RUA536440363",NULL,NULL,NULL,NULL
"Feduk",52.73169,41.44326,45752,"wOBnq0Ewz5k","Розовое вино",0,"RU","Tambov",484646,"RU","RUA11","RUA268","RUA368401",NULL,"RUA568401368",NULL,NULL,NULL,NULL
"Vremya i Steklo",47.23617,38.89688,23209,"q--5Ht49vNY","Тролль",0,"RU","Taganrog",484907,"RU","RUA12","RUA260","RUA360437",NULL,NULL,"RUP134",NULL,NULL,NULL
"Feduk",61.67642,50.80994,49016,"wOBnq0Ewz5k","Розовое вино",0,"RU","Syktyvkar",485239,"RU","RUA13","RUA287","RUA387401",NULL,NULL,"RUP116",NULL,NULL,NULL
"Vremya i Steklo",53.62462,55.95015,37444,"q--5Ht49vNY","Тролль",0,"RU","Sterlitamak",487495,"RU","RUA17","RUA280","RUA380445",NULL,NULL,"RUP145",NULL,NULL,NULL
"Vremya i Steklo",45.0428,41.9734,133339,"q--5Ht49vNY","Тролль",0,"RU","Stavropol'",487846,"RU","RUA18","RUA207","RUA307401",NULL,"RUA507401363",NULL,NULL,NULL,NULL
"Feduk",54.7818,32.0401,55127,"wOBnq0Ewz5k","Розовое вино",0,"RU","Smolensk",491687,"RU","RUA11","RUA266","RUA366401",NULL,"RUA566401368",NULL,NULL,NULL,NULL
"Vremya i Steklo",51.54056,46.00861,172496,"q--5Ht49vNY","Тролль",0,"RU","Saratov",498677,"RU","RUA17","RUA263","RUA363401",NULL,"RUA563401372",NULL,NULL,NULL,NULL
"Vremya i Steklo",54.1838,45.1749,59498,"q--5Ht49vNY","Тролль",0,"RU","Saransk",498698,"RU","RUA17","RUA289","RUA389401",NULL,NULL,"RUP143",NULL,NULL,NULL
"Feduk",59.93863,30.31413,727539,"wOBnq0Ewz5k","Розовое вино",0,"RU","Saint Petersburg",498817,"RU","RUA13","RUA240","RUA340298",NULL,"RUA540298561",NULL,NULL,NULL,NULL
