"artist_name","latitude","longitude","views","track_link","track_name","rank","country_code","geo_name","geonameid","boundaries_admin_0","boundaries_admin_1","boundaries_admin_2","boundaries_admin_3","boundaries_admin_4","boundaries_admin_5","boundaries_postal_1","boundaries_postal_2","boundaries_postal_3","boundaries_postal_4"
"Nicos",15.35472,44.20667,108707,"ykPmM7Me2fM","Secret Love",0,"YE","Sanaa",71137,"YE","YEA113","YEA21301",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Esraa Al Aseel",36.19257,44.01062,188539,"xb06CqeSgCQ","سسس",0,"IQ","Erbil",95446,"IQ","IQA116","IQA21601",NULL,NULL,NULL,"IQP144",NULL,NULL,NULL
"PSY",35.56496,45.4329,105173,"9bZkp7q19f0","Gangnam Style",0,"IQ","As Sulaymaniyah",98463,"IQ","IQA118","IQA21801",NULL,NULL,NULL,"IQP146",NULL,NULL,NULL
"بدر الشعيفاني",21.42664,39.82563,262152,"UjDI5iFYhZg","عيدية حرب",0,"SA","Mecca",104515,"SA","SAA102","SAA20201",NULL,NULL,NULL,"SAP12",NULL,NULL,NULL
"بدر الشعيفاني",21.54238,39.19797,8045354,"UjDI5iFYhZg","عيدية حرب",0,"SA","Jeddah",105343,"SA","SAA102","SAA20202",NULL,NULL,NULL,"SAP12",NULL,NULL,NULL
"بدر الشعيفاني",24.68773,46.72185,5552828,"UjDI5iFYhZg","عيدية حرب",0,"SA","Riyadh",108410,"SA","SAA101","SAA20101",NULL,NULL,NULL,"SAP11",NULL,NULL,NULL
"بدر الشعيفاني",24.46861,39.61417,177047,"UjDI5iFYhZg","عيدية حرب",0,"SA","Medina",109223,"SA","SAA103","SAA20301",NULL,NULL,NULL,"SAP14",NULL,NULL,NULL
"Mansour",35.69439,51.42151,6014,"3zx7mEDq_gM","Bari Bakh",0,"IR","Tehran",112931,"IR","IRA108","IRA20805",NULL,NULL,NULL,"IRP111",NULL,NULL,NULL
"Manuş Baba",35.17531,33.3642,183811,"vyXOEGyjQ0Q","Eteği Belinde",0,"CY","Nicosia",146268,"CY","CYA11","CYA21000",NULL,NULL,NULL,"CYP119","CYP21900",NULL,NULL
"Camila Cabello",34.68406,33.03794,178575,"BQ0mxQXmLsk","Havana",0,"CY","Limassol",146384,"CY","CYA15","CYA25000",NULL,NULL,NULL,"CYP130","CYP23025",NULL,NULL
"Camila Cabello",34.92291,33.6233,37673,"BQ0mxQXmLsk","Havana",0,"CY","Larnaca",146400,"CY","CYA14","CYA24000",NULL,NULL,NULL,"CYP160","CYP26050",NULL,NULL
"Ersay Üner",35.12054,33.93894,60204,"ibwSWfbaW0I","İki Aşık",0,"CY","Famagusta",146617,"CY","CYA13","CYA23000",NULL,NULL,NULL,"CYP150","CYP25000",NULL,NULL
"--",39.20889,45.41222,45116,"gYGuiuVgse4","Vasif Azimov Derdimi Dinle 2017",0,"AZ","Nakhchivan",147429,"AZ","AZA109","AZA20947",NULL,NULL,NULL,"AZP170",NULL,NULL,NULL
"Diamond Platnumz",-6.82349,39.26951,1161116,"q1iHgDTplfw","Waka",0,"TZ","Dar es Salaam",160263,"TZ","TZA102","TZA20201",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Patoranking",-3.36667,36.68333,6151,"ZjN4agWqTdc","Love You Die",0,"TZ","Arusha",161325,"TZ","TZA101","TZA20102",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Oka Wi Ortega",33.5102,36.29128,773659,"7YVydzZHU6U","العب يلا",0,"SY","Damascus",170654,"SY","SYA101","SYA20100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sauti Sol",-1.28333,36.81667,1226706,"D8LFwC1nEpU","Melanin",0,"KE","Nairobi",184745,"KE","KEA104","KEA20401",NULL,NULL,NULL,"KEP10","KEP2001",NULL,NULL
"Meddy",-1.94995,30.05885,96126,"fAjArUewW48","Slowly",0,"RW","Kigali",202061,"RW","RWA11","RWA211",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Elena Paparizou",39.36103,22.94248,42745,"Ki2UJC0le9k","An Me Dis Na Kleo",0,"GR","Volos",251833,"GR","GRA1231","GRA224","GRA32401","GRA4240101",NULL,NULL,NULL,NULL,NULL
"Nikos Oikonomopoulos",39.55493,21.76837,20329,"KGcsHa4Riig","Gia Kapio Logo",0,"GR","Trikala",252664,"GR","GRA1231","GRA226","GRA32601","GRA4260101",NULL,NULL,NULL,NULL,NULL
"Nikos Oikonomopoulos",38.24444,21.73444,46022,"KGcsHa4Riig","Gia Kapio Logo",0,"GR","Patra",255683,"GR","GRA1242","GRA237","GRA33701","GRA4370101",NULL,NULL,NULL,NULL,NULL
"Camila Cabello",38.0357,23.75733,29427,"BQ0mxQXmLsk","Havana",0,"GR","Nea Ionia",256614,"GR","GRA1351","GRA246","GRA34608","GRA4460800",NULL,NULL,NULL,NULL,NULL
"Elena Paparizou",39.63689,22.41761,69333,"Ki2UJC0le9k","An Me Dis Na Kleo",0,"GR","Larisa",258576,"GR","GRA1231","GRA222","GRA32201","GRA4220101",NULL,NULL,NULL,NULL,NULL
"Nikos Oikonomopoulos",35.51124,24.02921,50201,"KGcsHa4Riig","Gia Kapio Logo",0,"GR","Chania",260114,"GR","GRA1471","GRA274","GRA37401","GRA4740101",NULL,NULL,NULL,NULL,NULL
"Nikos Oikonomopoulos",38.46354,23.60284,36871,"KGcsHa4Riig","Gia Kapio Logo",0,"GR","Chalkida",260133,"GR","GRA1232","GRA229","GRA32901","GRA4290101",NULL,NULL,NULL,NULL,NULL
"Nikos Oikonomopoulos",37.03913,22.11265,63111,"KGcsHa4Riig","Gia Kapio Logo",0,"GR","Kalamata",261604,"GR","GRA1243","GRA244","GRA34401","GRA4440101",NULL,NULL,NULL,NULL,NULL
"Camila Cabello",37.91033,23.72361,33838,"BQ0mxQXmLsk","Havana",0,"GR","Alimos",261614,"GR","GRA1351","GRA248","GRA34803","GRA4480300",NULL,NULL,NULL,NULL,NULL
"Nikos Oikonomopoulos",39.66486,20.85189,41763,"KGcsHa4Riig","Gia Kapio Logo",0,"GR","Ioannina",261779,"GR","GRA1122","GRA218","GRA31801","GRA4180101",NULL,NULL,NULL,NULL,NULL
"Camila Cabello",37.97945,23.71622,1690645,"BQ0mxQXmLsk","Havana",0,"GR","Athens",264371,"GR","GRA1351","GRA245","GRA34501","GRA4450100",NULL,NULL,NULL,NULL,NULL
"Camila Cabello",38.05,23.8,46926,"BQ0mxQXmLsk","Havana",0,"GR","Marousi",265243,"GR","GRA1351","GRA246","GRA34601","GRA4460100",NULL,NULL,NULL,NULL,NULL
"Camila Cabello",38.08333,23.73333,38768,"BQ0mxQXmLsk","Havana",0,"GR","Acharnes",265488,"GR","GRA1351","GRA249","GRA34901","GRA4490101",NULL,NULL,NULL,NULL,NULL
"Static and Ben El Tavori",31.76904,35.21633,217811,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Jerusalem",281184,"IL","ILA11","ILA211","ILA3111",NULL,NULL,"ILP192",NULL,NULL,NULL
"Camila Cabello",29.33278,48.02861,18747,"BQ0mxQXmLsk","Havana",0,"KW","Hawalli",285629,"KW","KWA102","KWA2204",NULL,NULL,NULL,"KWP130",NULL,NULL,NULL
"بدر الشعيفاني",29.36972,47.97833,1139256,"UjDI5iFYhZg","عيدية حرب",0,"KW","Kuwait City",285787,"KW","KWA101","KWA2105",NULL,NULL,NULL,"KWP114",NULL,NULL,NULL
"بدر الشعيفاني",23.58413,58.40778,612388,"UjDI5iFYhZg","عيدية حرب",0,"OM","Muscat",287286,"OM","OMA101","OMA20102",NULL,NULL,NULL,"OMP11",NULL,NULL,NULL
"Ed Sheeran",25.28545,51.53096,652072,"2Vv-BfVoq4g","Perfect",1,"QA","Doha",290030,"QA","QAA11","QAA204",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Youssef Al Omani",26.22787,50.58565,419238,"4sNwWZEYAtk","سلطان العماني - الله يوفقك (حصريا) 2017 Sultan Alomane - ِAla Yofkak",0,"BH","Manama",290340,"BH","BHA11","BHA2116","BHA30308",NULL,NULL,"BHP103",NULL,NULL,NULL
"بدر الشعيفاني",25.78953,55.9432,75997,"UjDI5iFYhZg","عيدية حرب",0,"AE","Ras al-Khaimah",291074,"AE","AEA105",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ed Sheeran",25.0657,55.17128,1612143,"2Vv-BfVoq4g","Perfect",0,"AE","Dubai",292223,"AE","AEA103",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Vineeth Sreenivasan",25.33737,55.41206,426411,"FXiaIH49oAU","Entammede Jimikki Kammal",1,"AE","Sharjah",292672,"AE","AEA106",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"بدر الشعيفاني",24.19167,55.76056,189168,"UjDI5iFYhZg","عيدية حرب",0,"AE","Al Ain",292913,"AE","AEA101",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Vineeth Sreenivasan",25.41111,55.43504,101763,"FXiaIH49oAU","Entammede Jimikki Kammal",1,"AE","Ajman",292932,"AE","AEA102",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ed Sheeran",24.46667,54.36667,580380,"2Vv-BfVoq4g","Perfect",0,"AE","Abu Dhabi",292968,"AE","AEA101",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Static and Ben El Tavori",32.08088,34.78057,3534454,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Tel Aviv",293397,"IL","ILA15","ILA251","ILA3511",NULL,NULL,"ILP164",NULL,NULL,NULL
"Static and Ben El Tavori",31.97102,34.78939,69089,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Rishon LeZiyyon",293703,"IL","ILA14","ILA244","ILA3442",NULL,NULL,"ILP175",NULL,NULL,NULL
"Static and Ben El Tavori",31.89421,34.81199,45913,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Rehovot",293725,"IL","ILA14","ILA244","ILA3441",NULL,NULL,"ILP176",NULL,NULL,NULL
"Static and Ben El Tavori",32.08227,34.81065,45571,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Ramat Gan",293788,"IL","ILA15","ILA251","ILA3512",NULL,NULL,"ILP153",NULL,NULL,NULL
"Static and Ben El Tavori",32.08707,34.88747,87749,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Petah Tiqwa",293918,"IL","ILA14","ILA242","ILA3422",NULL,NULL,"ILP149",NULL,NULL,NULL
"Static and Ben El Tavori",32.33291,34.85992,68713,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Netanya",294071,"IL","ILA14","ILA241","ILA3411",NULL,NULL,"ILP142",NULL,NULL,NULL
"Static and Ben El Tavori",33.00892,35.09814,25495,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Nahariyya",294117,"IL","ILA12","ILA224","ILA3245",NULL,NULL,"ILP122",NULL,NULL,NULL
"Static and Ben El Tavori",32.175,34.90694,23180,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Kfar Saba",294514,"IL","ILA14","ILA242","ILA3421",NULL,NULL,"ILP144",NULL,NULL,NULL
"Static and Ben El Tavori",32.01034,34.77918,55448,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Holon",294751,"IL","ILA15","ILA251","ILA3513",NULL,NULL,"ILP158",NULL,NULL,NULL
"Camila Cabello",32.16627,34.82536,37622,"BQ0mxQXmLsk","Havana",0,"IL","Herzliya",294778,"IL","ILA15","ILA251","ILA3511",NULL,NULL,"ILP146",NULL,NULL,NULL
"Camila Cabello",32.81841,34.9885,88501,"BQ0mxQXmLsk","Havana",0,"IL","Haifa",294801,"IL","ILA13","ILA231","ILA3311",NULL,NULL,"ILP133",NULL,NULL,NULL
"Static and Ben El Tavori",32.44192,34.9039,26609,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Hadera",294946,"IL","ILA13","ILA232","ILA3324",NULL,NULL,"ILP138",NULL,NULL,NULL
"Static and Ben El Tavori",31.25181,34.7913,88490,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Beersheba",295530,"IL","ILA16","ILA262","ILA3623",NULL,NULL,"ILP184",NULL,NULL,NULL
"Static and Ben El Tavori",31.66926,34.57149,22216,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Ashkelon",295620,"IL","ILA16","ILA261","ILA3614",NULL,NULL,"ILP178",NULL,NULL,NULL
"Static and Ben El Tavori",31.79213,34.64966,45867,"ZOYQ94ylTGY","הכל לטובה",0,"IL","Ashdod",295629,"IL","ILA16","ILA261","ILA3613",NULL,NULL,"ILP177",NULL,NULL,NULL
"Ersay Üner",39.82,34.80444,120645,"ibwSWfbaW0I","İki Aşık",0,"TR","Yozgat",296562,"TR","TRA166","TRA26600","TRA3660000011",NULL,NULL,"TRP166",NULL,NULL,NULL
"Manuş Baba",38.49457,43.38323,257005,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Van",298117,"TR","TRA165","TRA26512","TRA3651200009",NULL,NULL,"TRP165",NULL,NULL,NULL
"Ersay Üner",38.67351,29.4058,191143,"ibwSWfbaW0I","İki Aşık",0,"TR","Usak",298299,"TR","TRA164","TRA26400","TRA3640000014",NULL,NULL,"TRP164",NULL,NULL,NULL
"Manuş Baba",37.16708,38.79392,372373,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Sanliurfa",298333,"TR","TRA163","TRA26313","TRA3631300000",NULL,NULL,"TRP163",NULL,NULL,NULL
"Ersay Üner",39.74833,37.01611,263837,"ibwSWfbaW0I","İki Aşık",0,"TR","Sivas",300619,"TR","TRA158","TRA25800","TRA3580000053",NULL,NULL,"TRP158",NULL,NULL,NULL
"Ersay Üner",38.48258,28.14774,142229,"ibwSWfbaW0I","İki Aşık",0,"TR","Salihli",302043,"TR","TRA145","TRA24510","TRA3451000005",NULL,NULL,"TRP145",NULL,NULL,NULL
"Manuş Baba",37.07417,36.24778,128927,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Osmaniye",303195,"TR","TRA180","TRA28000","TRA3800000002",NULL,NULL,"TRP180",NULL,NULL,NULL
"Ersay Üner",37.96583,34.67935,132996,"ibwSWfbaW0I","İki Aşık",0,"TR","Nigde",303827,"TR","TRA151","TRA25100","TRA3510000013",NULL,NULL,"TRP151",NULL,NULL,NULL
"Ersay Üner",38.625,34.71222,130861,"ibwSWfbaW0I","İki Aşık",0,"TR","Nevsehir",303831,"TR","TRA150","TRA25000","TRA3500000020",NULL,NULL,"TRP150",NULL,NULL,NULL
"Ersay Üner",37.21807,28.3665,30519,"ibwSWfbaW0I","İki Aşık",0,"TR","Mugla",304184,"TR","TRA148","TRA24800","TRA3480000014",NULL,NULL,"TRP148",NULL,NULL,NULL
"Ersay Üner",38.61202,27.42647,385965,"ibwSWfbaW0I","İki Aşık",0,"TR","Manisa",304827,"TR","TRA145","TRA24516","TRA3451600039",NULL,NULL,"TRP145",NULL,NULL,NULL
"Manuş Baba",38.35018,38.31667,278248,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Malatya",304922,"TR","TRA144","TRA24404","TRA3440400070",NULL,NULL,"TRP144",NULL,NULL,NULL
"Ersay Üner",39.42417,29.98333,253997,"ibwSWfbaW0I","İki Aşık",0,"TR","Kutahya",305268,"TR","TRA143","TRA24300","TRA3430000021",NULL,NULL,"TRP143",NULL,NULL,NULL
"Ersay Üner",37.87135,32.48464,1058355,"ibwSWfbaW0I","İki Aşık",0,"TR","Konya",306571,"TR","TRA142","TRA24203","TRA3420300006",NULL,NULL,"TRP142",NULL,NULL,NULL
"Ersay Üner",39.14583,34.16389,84255,"ibwSWfbaW0I","İki Aşık",0,"TR","Kirsehir",307515,"TR","TRA140","TRA24000","TRA3400000012",NULL,NULL,"TRP140",NULL,NULL,NULL
"Ersay Üner",39.84528,33.50639,123189,"ibwSWfbaW0I","İki Aşık",0,"TR","Kirikkale",307654,"TR","TRA171","TRA27100","TRA3710000024",NULL,NULL,"TRP171",NULL,NULL,NULL
"Ersay Üner",38.73222,35.48528,718236,"ibwSWfbaW0I","İki Aşık",0,"TR","Kayseri",308464,"TR","TRA138","TRA23801","TRA3380100028",NULL,NULL,"TRP138",NULL,NULL,NULL
"Ersay Üner",37.18111,33.215,119415,"ibwSWfbaW0I","İki Aşık",0,"TR","Karaman",309527,"TR","TRA170","TRA27000","TRA3700000029",NULL,NULL,"TRP170",NULL,NULL,NULL
"Manuş Baba",39.71944,43.05139,76766,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Agri",309647,"TR","TRA104","TRA20400","TRA3040000016",NULL,NULL,"TRP104",NULL,NULL,NULL
"Manuş Baba",37.5847,36.92641,298974,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Kahramanmaras",310859,"TR","TRA146","TRA24600","TRA3460000041",NULL,NULL,"TRP146",NULL,NULL,NULL
"Manuş Baba",38.41273,27.13838,3865034,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Izmir",311046,"TR","TRA135","TRA23508","TRA3350800045",NULL,NULL,"TRP135",NULL,NULL,NULL
"Ersay Üner",37.76444,30.55222,353633,"ibwSWfbaW0I","İki Aşık",0,"TR","Isparta",311073,"TR","TRA132","TRA23200","TRA3320000032",NULL,NULL,"TRP132",NULL,NULL,NULL
"Manuş Baba",36.58718,36.17347,221218,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Iskenderun",311111,"TR","TRA131","TRA23106","TRA3310600005",NULL,NULL,"TRP131",NULL,NULL,NULL
"Manuş Baba",37.05944,37.3825,890298,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Gaziantep",314830,"TR","TRA127","TRA22701","TRA3270100002",NULL,NULL,"TRP127",NULL,NULL,NULL
"Ersay Üner",36.64038,29.12758,173943,"ibwSWfbaW0I","İki Aşık",0,"TR","Fethiye",314967,"TR","TRA148","TRA24804","TRA3480400002",NULL,NULL,"TRP148",NULL,NULL,NULL
"Ersay Üner",39.77667,30.52056,651435,"ibwSWfbaW0I","İki Aşık",0,"TR","Eskisehir",315202,"TR","TRA126","TRA22614","TRA3261402011",NULL,NULL,"TRP126",NULL,NULL,NULL
"Ersay Üner",39.90861,41.27694,814647,"ibwSWfbaW0I","İki Aşık",0,"TR","Erzurum",315368,"TR","TRA125","TRA22520","TRA3252003010",NULL,NULL,"TRP125",NULL,NULL,NULL
"Manuş Baba",39.73919,39.49015,93888,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Erzincan",315373,"TR","TRA124","TRA22400","TRA3240000008",NULL,NULL,"TRP124",NULL,NULL,NULL
"Manuş Baba",38.67431,39.22321,221044,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Elazig",315808,"TR","TRA123","TRA22300","TRA3230000006",NULL,NULL,"TRP123",NULL,NULL,NULL
"Manuş Baba",37.91363,40.21721,764831,"vyXOEGyjQ0Q","Eteği Belinde",0,"TR","Diyarbakir",316541,"TR","TRA121","TRA22117","TRA3211703007",NULL,NULL,"TRP121",NULL,NULL,NULL
