"artist_name","track_name","track_link"
"--","Bes Kallaku ft Klajdi Haruni - Skifterja zemres","orwXmkQXfzc"
"--","CHARI CHATTA PARI  Nepali Movie Song by Rajan Raj Shiwakoti   KANCHHI   Dayahang Rai   Shweta Khadka","iPCQmI5yTGE"
"--","Vasif Azimov Derdimi Dinle 2017","gYGuiuVgse4"
"6ix9ine","Gummo","gAs9HZC9c7Y"
"Aida Samb","Lan La? (feat. Pape Thiopet)","QUF0Ac5xATI"
"Alex Mica","Dalinda","ECIU3SQyUU4"
"Alkaline","Suave","m2_QDsFU1Ks"
"Alonzo","Papa allo","7s1FUFLdfoA"
"Amar Arshi","Kala Chashma","k4yXQkG2s1E"
"Anitta, Mc Zaac, Maejor","Vai malandra","kDhptBT_-VI"
"Arijit Singh","Galti Se Mistake","05TA9jNnCdU"
"Bad Bunny","Chambea","gpIBmED4oss"
"Bad Bunny","Sensualidad","ovX1HloCgdA"
"Banda Sinaloense MS de Sergio Lizárraga","El Color De Tus Ojos","7UO0O6ADu4Q"
"Bartofso","Nada Riba Mi","8z3YF6bQA0Y"
"Bausa","Was Du Liebe nennst","TSkVVVBS9k8"
"Becky G","Mayores","GMFewiplIbw"
"Beyoncé","Perfect Duet","2Vv-BfVoq4g"
"Broederliefde","Officieel","eNJ5uhDvOCo"
"Camila Cabello","Havana","BQ0mxQXmLsk"
"Ceca","Lazov notorni - (Official Video 2017)","RuhRT7OJ8LA"
"Comment Être un dieu au lit","sans aucune lacune astuce partie 3","pMEI9aEhUB0"
"Da Zhuang","Wo Men Bu Yi Yang","ekDzlSB1p28"
"Davido","FIA","8ORvJcpe2Oc"
"Debordo Leekunfa","Robot Macador","DZ7zLaKyJhg"
"Dejan Matić","Deficit","_Cj9vkB57n4"
"Devinho Novaes O Boyzinho","Mexeu Comigo","rgq-May5NqY"
"Diamond Platnumz","Waka","q1iHgDTplfw"
"Distruction Boyz","Omunye","XpXub2jU38Q"
"DJ Arafat","Faut chercher pour toi","upv49d_7PMA"
"Don'Zer","Goudronier","g0a7g5EVPRc"
"Ebony Reigns","Maame Hw3","d8cJoGtU660"
"Ed Sheeran","Perfect","2Vv-BfVoq4g"
"Ed Sheeran","Shape of You","JGwWNGJdvx8"
"Elena Paparizou","An Me Dis Na Kleo","Ki2UJC0le9k"
"Elida Almeida","É Zonban","JcjZPBN2MXE"
"Ersay Üner","İki Aşık","ibwSWfbaW0I"
"Esraa Al Aseel","سسس","xb06CqeSgCQ"
"Fally Ipupa","Mannequin","p4ljo8KpBkM"
"Feduk","Розовое вино","wOBnq0Ewz5k"
"Fero","Fero - A pe din qysh","8DLlAz2H6kI"
"Gjiko","papuqegucci 4k final render","9Q2FrHH5hC8"
"Greeicy Rendón","Amantes","t_shSXXV91w"
"Guru Randhawa","High Rated Gabru","hjWf8A0YNSE"
"Hardy Sandhu","Naah -  Harrdy Sandhu Feat. Nora Fatehi | Jaani | B Praak |Official Music Video |","8qs2dZO6wcc"
"Helen Berhe","Eski Leyew","ZUnB4p1xY6s"
"Hungria Hip-Hop","Não Troco","hBecvGXZaNM"
"Ioana Ignat","Nu ma uita","opWD4wILjmg"
"Kalash","Mwaka Moon","UPnMFUsKm8w"
"Klay BBj","Klay - Dima Labes ft. Rayen","51uJNBsvsuU"
"Kryštof","Zůstaň tu se mnou","cK11-8FWe14"
"L'Algérino","Les Menottes (Tching Tchang Tchong)","Fvw4vOXyBPU"
"Lil Pump","Gucci Gang","4LfJnj66HVQ"
"Liloca","Tsova","5QgajC2e8X8"
"Luis Fonsi","Despacito","kJQP7kiw5Fk"
"Luis Fonsi","Échame la Culpa","TyHvyGVs42U"
"Madhu Priya","Vachinde","YFfEFbC9_XQ"
"Maluma","Corazón","GmHrjFIWl6U"
"Mano Walter","Não Deixo Não","lAu3F_em_Q8"
"Mansour","Bari Bakh","3zx7mEDq_gM"
"Manuş Baba","Eteği Belinde","vyXOEGyjQ0Q"
"Martin Mkrtchyan","Qefs Milion A","vbFxb22vu_M"
"MATTEO","Panama","tMmMTdc7RE0"
"MC Don Juan","Amar Amei","_Qub7jfzYQw"
"MCs Jhowzinho & Kadinho","Agora Vai Sentar","SHVkm-TqrT0"
"Meddy","Slowly","fAjArUewW48"
"Meet Bros","Aa To Sahi","AYmy75tnmTU"
"Michael Jackson","Beat It","oRdxUFDoQe0"
"MiyaGi & Endshpiel","I Got Love","nidQCt_HEsY"
"Mohsen Yeganeh","Behet Ghol Midam","hcDwmtDpnSE"
"Moira Dela Torre","Titibo-Tibo","Cp_7VA7076I"
