"artist_name","track_name","track_link"
"Mozart La Para","MOZART LA PARA X LIRO SHAQ X CHIMBALA   BYE BYE","OfSU4j1C3Es"
"Munisa Rizayeva","Alamim bor","pbA6leWkoRo"
"Musicologo The Libro","Limonada Coco","7Y9FOUiET1w"
"Natti Natasha","Criminal","VqEbCxg2bNI"
"Nella Kharisma","Jaran Goyang","8nA-apwq0aY"
"Nicos","Secret Love","ykPmM7Me2fM"
"Nikos Oikonomopoulos","Gia Kapio Logo","KGcsHa4Riig"
"Oka Wi Ortega","العب يلا","7YVydzZHU6U"
"Palak Muchhal","Prem Ratan Dhan Payo","bPk9bSvQQoc"
"Parmish Verma","Gaal Ni Kadni","U65TWIP3mpQ"
"Patoranking","Love You Die","ZjN4agWqTdc"
"Pavni Pandey","Laila Main Laila","95I5VaR7GeU"
"Péter Majoros","Mindenki táncol /90'/","WfDdGWfVu0E"
"Popcaan","El Chapo","DH9MQNECtd8"
"Post Malone","Rockstar","UceaB4D0jpo"
"PSY","Gangnam Style","9bZkp7q19f0"
"Raju Punjabi","Gori Re","p-Zq8clHK8Y"
"Red Velvet","Peek-A-Boo","6uJf2IT2Zh8"
"Roody Rood Boy","Blok pam","Y0JJxCycIhQ"
"Saša Matić","Sve Bi Ja I Ti","2HKM7j9TVFk"
"Sauti Sol","Melanin","D8LFwC1nEpU"
"Scró Qui Cuia","Vou Partir Cama","VeaQtiogx18"
"Shado Chris","C'est pas possible","QVA1g2wF0kQ"
"Sharry Mann","Cute Munda","PDlw1Tn-PVk"
"Shreya Ghoshal","Ghoomar","6cKErCWrb44"
"Silvestre Dangond","Cásate Conmigo","cpN78ZjnCZY"
"Snow Tha Product","Nuestra Canción Pt. 2","8yB248l4444"
"Sona Tata","Fidélité","yt8De_qOyEo"
"Static and Ben El Tavori","הכל לטובה","ZOYQ94ylTGY"
"Sławomir","Miłość w Zakopanem","n2hJA78YuWw"
"Thiago Brava","Dona Maria","qaPDDTLkB2U"
"Tita","Antilopa","S37CvSvQN7o"
"Tran Nhat Quang","Ngay Cuoi Em","zjw1GwvQT4U"
"TWICE","LIKEY","V2hlQkVJZhE"
"Vedala Hemachandra","Naa Kallalona","DVZhg9T_Fjs"
"Vineeth Sreenivasan","Entammede Jimikki Kammal","FXiaIH49oAU"
"Virgoun","Bukti","s9NoBV_7yVI"
"Vishal Dadlani","Swag Se Swagat","xmU0s2QtaEY"
"Vremya i Steklo","Тролль","q--5Ht49vNY"
"Vybz Kartel","Mhm Hm","gP0I3GgfwGc"
"Youssef Al Omani","سلطان العماني - الله يوفقك (حصريا) 2017 Sultan Alomane - ِAla Yofkak","4sNwWZEYAtk"
"Yung Bleu","Miss It","fFPZuT3W21E"
"Zouhair Bahaoui","Muchas Gracias","q-D_pgCIRqw"
"بدر الشعيفاني","عيدية حرب","UjDI5iFYhZg"
