latitude,longitude,location_id,views,track_name,track_link,rank
15.35472,44.20667,0x1603dbd54684f731:0xa46b957a1482ac73,108707,Secret Love,https://www.youtube.com/watch?v=ykPmM7Me2fM,0
36.19257,44.01062,0x400722fe13443461:0x3e01d63391de79d1,188539,سسس,https://www.youtube.com/watch?v=xb06CqeSgCQ,0
35.56496,45.4329,0x40002c0536d143b1:0xf791750d4e215dea,105173,Gangnam Style,https://www.youtube.com/watch?v=9bZkp7q19f0,0
21.42664,39.82563,0x15c21b4ced818775:0x98ab2469cf70c9ce,262152,عيدية حرب,https://www.youtube.com/watch?v=UjDI5iFYhZg,0
21.54238,39.19797,0x15c3d01fb1137e59:0xe059579737b118db,8045354,عيدية حرب,https://www.youtube.com/watch?v=UjDI5iFYhZg,0
24.68773,46.72185,0x3e2f03890d489399:0xba974d1c98e79fd5,5552828,عيدية حرب,https://www.youtube.com/watch?v=UjDI5iFYhZg,0
24.46861,39.61417,0x15bdbe5197d220d5:0x2e54514fea3b08d9,177047,عيدية حرب,https://www.youtube.com/watch?v=UjDI5iFYhZg,0
35.69439,51.42151,0x3f8e00491ff3dcd9:0xf0b3697c567024bc,6014,Bari Bakh,https://www.youtube.com/watch?v=3zx7mEDq_gM,0
35.17531,33.3642,0x14de1767ca494d55:0x5b5ea49c0311c0a5,183811,Eteği Belinde,https://www.youtube.com/watch?v=vyXOEGyjQ0Q,0
34.68406,33.03794,0x14e73316ac02f49d:0xdaa97f957025b012,178575,Havana,https://www.youtube.com/watch?v=BQ0mxQXmLsk,0
34.92291,33.6233,0x14e082a16c40cb13:0x4fcbf0221371d0a5,37673,Havana,https://www.youtube.com/watch?v=BQ0mxQXmLsk,0
35.12054,33.93894,0x14dfc842da4c163d:0x29db03c5a5d3ce87,60204,İki Aşık,https://www.youtube.com/watch?v=ibwSWfbaW0I,0
39.20889,45.41222,0x40142e7307d10ea5:0xbcd74fc07d9ab2bd,45116,Vasif Azimov Derdimi Dinle 2017,https://www.youtube.com/watch?v=gYGuiuVgse4,0
-6.82349,39.26951,0x185c4bae169bd6f1:0x940f6b26a086a1dd,1161116,Waka,https://www.youtube.com/watch?v=q1iHgDTplfw,0
-3.36667,36.68333,0x18371c88f2387383:0xbc1907f7ec497152,6151,Love You Die,https://www.youtube.com/watch?v=ZjN4agWqTdc,0
33.5102,36.29128,0x1518e6dc413cc6a7:0x6b9f66ebd1e394f2,773659,العب يلا,https://www.youtube.com/watch?v=7YVydzZHU6U,0
-1.28333,36.81667,0x182f1172d84d49a7:0xf7cf0254b297924c,1226706,Melanin,https://www.youtube.com/watch?v=D8LFwC1nEpU,0
-1.94995,30.05885,0x19dca4258ed8e797:0xf32b36a5411d0bc8,96126,Slowly,https://www.youtube.com/watch?v=fAjArUewW48,0
39.36103,22.94248,0x14a76c60e1af6cf1:0x5d6e8e390219aae2,42745,An Me Dis Na Kleo,https://www.youtube.com/watch?v=Ki2UJC0le9k,0
39.55493,21.76837,0x1359193322772e5f:0x400bd2ce2b99fc0,20329,Gia Kapio Logo,https://www.youtube.com/watch?v=KGcsHa4Riig,0
37.94745,23.63708,0x14a1bbebb7ac3147:0xd820da95ff30fdf7,73013,Havana,https://www.youtube.com/watch?v=BQ0mxQXmLsk,0
38.24444,21.73444,0x135e3599a524ed2d:0x400bd2ce2b98ca0,46022,Gia Kapio Logo,https://www.youtube.com/watch?v=KGcsHa4Riig,0
38.0357,23.75733,0x14a1a277700a9d9f:0xea3bd55aebb76ed1,29427,Havana,https://www.youtube.com/watch?v=BQ0mxQXmLsk,0
39.63689,22.41761,0x1358885c595d47a1:0x400bd2ce2b99c30,69333,An Me Dis Na Kleo,https://www.youtube.com/watch?v=Ki2UJC0le9k,0
